;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Psenica;180,97;169,09;168,33;133,81;153,97;159,36;163,19;148,22;187,77;314,93;184,14
Jecmen;177,26;153,31;133,78;132,95;128,76;142,37;137,22;125,41;168,27;278,26;150,93
Koruza_v_zrnju;169,23;125,28;131,77;130,61;141,25;146,93;123,74;124,95;207,89;293,41;151,20
Oljna_ogrscica;0,36;0,31;0,36;0,33;0,32;0,31;0,32;0,32;0,46;0,62;0,38
Hmelj;3,38;4,62;5,62;6,61;6,20;6,85;7,54;7,21;6,87;6,92;7,82
Buce_za_olje;2,83;3,38;3,77;2,96;2,43;1,99;2,75;2,78;3,06;3,60;3,75
Krompir_zgodnji;0,54;0,29;0,32;0,42;0,33;0,34;0,51;0,41;0,49;0,56;0,71
Krompir_pozni;0,33;0,16;0,13;0,16;0,18;0,20;0,29;0,24;0,29;0,34;0,48
Fizol_v_zrnju;3,73;3,29;3,40;3,64;z;3,42;3,39;2,85;2,52;2,95;3,41
Fizol_stro?ji;2,43;2,13;2,04;1,89;2,62;2,46;2,77;2,63;3,08;3,13;3,53
Cebula;0,54;0,37;0,32;0,41;0,43;0,52;0,41;0,36;0,42;0,47;0,71
Cesen;5,53;3,67;3,38;4,18;4,74;z;z;6,62;6,59;6,97;7,43
Por;0,85;0,64;0,84;0,91;0,93;1,00;0,98;1,05;1,25;1,52;1,56
Zelje_belo;0,31;0,24;0,25;0,24;0,25;0,30;0,35;0,28;0,31;0,42;0,50
Kitajski_kapus;0,62;0,52;0,53;0,49;0,50;0,54;0,54;0,59;0,46;0,68;0,62
Ohrovt;0,53;0,50;0,53;0,53;z;z;z;0,54;0,51;0,56;0,66
Zelje_rdece;0,32;0,26;0,28;0,25;0,33;0,38;0,43;0,33;0,30;0,49;0,55
Rdeca_pesa;0,14;0,13;0,13;0,13;z;z;0,15;0,12;0,17;0,21;0,26
Cvetaca;0,75;0,79;0,84;0,95;z;1,01;z;z;1,16;1,17;1,44
Korencek;0,44;0,38;0,47;0,44;z;z;0,52;0,46;0,41;0,45;0,69
Paradiznik;0,94;1,33;1,30;z;z;z;z;z;1,95;2,31;2,16
Paprika;0,86;0,79;0,90;0,76;0,77;0,82;0,90;0,87;0,86;1,06;1,24
