;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Psenica;64573;82178;74420;50035;84367;45502;77415;84160;88903;66354;60431
Jecmen;5479;6429;10559;9810;14312;12479;18948;24883;29406;25103;20383
Koruza_v_zrnju;42610;84358;83852;81658;79221;119771;128207;137233;159097;134041;138649
Oljna_ogrscica;9246462;8957376;3594753;6451522;5414088;5329979;7924719;6761126;4377865;6044181;4179384
Hmelj;1127956;1327967;881918;1197720;1449230;1886832;1417523;1394082;1277304;1472668;1392765
Buce_za_olje;115881;97334;191816;321398;346269;394142;87866;210338;180283;463659;129751
Krompir_zgodnji;1063146;1807122;1677775;1207445;2235269;1846966;2490230;3319705;3442718;2627477;2430868
Krompir_pozni;2385539;3132009;3919129;3277887;4301925;5875053;6514108;8633642;6514629;8770596;6746965
Fizol_v_zrnju;534;9283;9230;8511;z;46677;36563;51146;71289;34700;13733
Fizol_strocji;15456;13841;19273;24460;34653;44925;28979;50042;61819;83841;91249
Cebula;208948;431835;395289;362116;646117;364863;1586204;2894369;2715278;2465148;1263436
Cesen;18172;38218;38815;52496;50566;z;z;239719;216457;193226;176598
Por;38541;62538;40498;71813;60962;101514;73941;75173;109076;101606;131016
Zelje_belo;1000133;1576220;1533331;1965166;2280072;2022006;2527083;2798678;2741090;2416381;2547930
Kitajski_kapus;53312;70864;70301;90286;142466;104798;124882;188249;177980;269946;234435
Ohrovt;111150;123086;111872;140303;z;z;z;136019;155376;167304;133644
Zelje_rdece;44618;108830;92534;169437;147716;177052;122769;225235;236270;235237;187127
Rdeca_pesa;564465;992095;896805;845838;z;z;847228;1578391;1171080;783174;1351726
Cvetaca;54375;36852;31342;38689;z;210736;z;z;295612;198053;44183
Korencek;24137;40393;39495;399018;z;z;1313139;1653154;2028446;1715677;1530129
Paradiznik;1451509;3450163;2899475;z;z;z;z;z;6676997;6425456;4594815
Paprika;511373;656036;851987;962482;1059588;1200391;1239481;718795;896447;946538;686300
Solata;191142;375842;488551;463199;890353;847737;1309720;1267976;1166204;1070665;1031489
Endivija;164761;157189;237182;178799;314057;262515;282088;167580;202329;197796;138137
Radic;143880;205457;230292;281767;351300;277707;333886;356936;263925;329451;268460
Kumare_solatne;148395;570342;546030;727379;764043;815017;679373;644000;797881;747927;868389
Bucke;281247;410500;546897;417746;666773;581198;523355;609379;619761;565154;525330
sparglji;8013;12799;10546;14423;20712;36373;37523;34303;32543;34393;37291
Cesplje_in_slive;26098;25814;13076;16183;12231;26198;13011;9644;5055;27022;32856
Jabolka_namizna;13434780;19903796;21611825;17006379;5800976;11672576;17221816;20054400;16398799;17022197;17432655
Jabolka_za_predelavo;8104553;3989588;6575686;5247116;1883891;7032574;6985398;5259916;4294113;4451663;4011057
Hruske_namizne;145233;258079;534276;315937;416970;464165;367916;356599;221027;557475;434128
Cesnje;15023;34027;97632;68457;80306;54789;35818;78823;18159;109537;31715
Marelice;z;742;6426;z;7024;-;6114;730;1439;8306;6333
Kaki;24105;13926;93769;46015;z;z;z;z;20236;78934;41402
Jagode;78217;102952;85480;254861;201422;257351;334249;291216;505612;460902;695164
Grozdje_za_predelavo;5233492;14393936;15287724;12309570;17004972;24553240;16981068;15917931;14991211;16910893;13010105
Kakovostno_vino;14068064;13047655;9789102;9308241;9094466;9313702;9917792;8538168;9747293;10106099;10528100
Teleta;1385228;1563085;1413378;1592209;1622735;1532926;1265446;1138579;1388461;1444131;1258358
Telice;5027574;5008655;8807032;6778565;8470888;8123151;9583771;10130425;12085381;12066567;11358198
Biki;31592671;31802423;31009554;34693396;37223403;33689859;34694861;32571536;35949837;32552070;29342933
Kastrati_voli;54258;71227;118311;75055;78598;139121;68668;186259;65553;65824;51184
Krave;11658044;10194769;10920440;12093671;14383195;12932242;12153089;11099051;12971937;15834475;12844308
Prasicki_do_25kg;128281;165846;186249;122219;250389;313449;245525;201219;243226;333046;378095
Lahki_pitani_prasici_25-50kg;184734;189662;183214;241886;102889;118116;160321;139402;166286;49001;46642
Pitani_prasici_50-150kg;18074643;21052999;18807528;19752442;17942125;18632526;18501752;18227962;18560225;18368968;17895517
Tezki_prasici_nad_150kg;772413;719663;564217;790232;778833;1023290;791389;673415;1141748;642982;484316
Konji;39302;58413;49230;41786;z;z;41101;27581;26025;17318;13396
Ovce;3066;3986;4214;7202;5639;5966;5193;2153;2764;2840;2602
Jagnjeta;112029;120802;131705;159851;186521;206778;199168;179802;199954;196465;202671
Kozlicki;1208;1604;2326;4363;4031;z;z;z;8654;5791;5148
Teleta_do_1_meseca;75312;39231;36887;26459;22190;35470;38146;36020;27244;35392;20601
Bikci_do_1_leta;381940;504282;223819;265731;306309;z;314238;186072;184814;228371;262437
Jajca_konzumna;139048838;135799336;144531591;156249486;179287579;187990136;189847634;189152295;185376734;186343135;196524417
Mleko_kravje;501913900;516207305;537551358;557974394;561992249;554015378;547544248;563213814;571621318;558428158;541721682
Med_cvetlicni;86635;38774;38528;29343;29100;z;51655;93734;55094;126177;86886
Med_gozdni;44971;15851;27011;15426;15780;16663;16194;42665;48118;45158;35523
