leto_id;pod_kategorija_id;meritev_na_enoto;meritev
2020;25;5.9;156849
2020;26;2.6;1333
2020;27;4.1;3460
2020;28;5.5;122177
2020;29;3.4;3229
2020;30;10.8;429846
2020;31;5.1;28255
2020;32;1.4;495
2020;33;0.9;3639
2020;34;2.5;408
2020;35;2.8;945
2020;36;2.1;815
2020;37;3;28
2020;38;30.3;89878
2020;39;66;7427
2020;40;16;7413
2020;41;18.1;13694
2020;42;2.6;8521
2020;43;2.9;1018
2020;44;3.1;5011
2020;45;0.7;2775
2020;46;0.9;242
2020;47;1.8;2723
2020;48;4.7;687
2020;49;49.8;1524290
2020;50;13.9;11497
2020;51;6.9;53446
2020;52;5.8;20012
2020;53;7.8;33434
2020;54;6.9;73463
2020;55;7.4;117514
2021;25;5.9;152627
2021;26;2.6;1824
2021;27;4;2529
2021;28;5.4;119132
2021;29;3.4;4120
2021;30;9.4;388830
2021;31;5.1;26389
2021;32;1.2;520
2021;33;0.9;3720
2021;34;3.1;855
2021;35;2.6;901
2021;36;1.7;652
2021;37;2;31
2021;38;23.4;64042
2021;39;66.8;8446
2021;40;17.9;3180
2021;41;14.5;9133
2021;42;2.5;6905
2021;43;2.7;1138
2021;44;2.5;4811
2021;45;0.6;2495
2021;46;0.9;226
2021;47;1.4;2186
2021;48;4.6;874
2021;49;42.9;1272059
2021;50;13.6;13864
2021;51;6;48226
2021;52;5.1;20877
2021;53;6.9;27349
2021;54;6.2;72662
2021;55;6.6;107708
2022;25;5.5;149273
2022;26;2.4;1481
2022;27;4;3206
2022;28;5;112455
2022;29;3.1;3159
2022;30;6.7;277818
2022;31;4.9;25149
2022;32;1;318
2022;33;0.7;3083
2022;34;1.6;245
2022;35;2.3;732
2022;36;1.2;465
2022;37;2.7;63
2022;38;20.2;58228
2022;39;59.5;4423
2022;40;11.3;2436
2022;41;10.1;5951
2022;42;2.6;7550
2022;43;2.1;1195
2022;44;2.3;5344
2022;45;0.5;1988
2022;46;0.6;112
2022;47;1.4;2283
2022;48;0.9;155
2022;49;31.8;942509
2022;50;10.4;8122
2022;51;4.5;34289
2022;52;4.2;15572
2022;53;4.9;18717
2022;54;4;57398
2022;55;4.4;73199
2023;25;5.1;144405
2023;26;2.3;1011
2023;27;3.6;3674
2023;28;4.6;101046
2023;29;2.9;2510
2023;30;8.8;389033
2023;31;4.2;21969
2023;32;1.3;317
2023;33;0.7;2549
2023;34;4;374
2023;35;2.1;593
2023;36;1.3;503
2023;37;2.8;35
2023;38;23.3;68583
2023;39;61.3;6965
2023;40;16;3100
2023;41;16.2;3535
2023;42;2.6;7324
2023;43;2;1197
2023;44;2.6;7875
2023;45;0.4;1243
2023;46;0.9;129
2023;47;1.6;2735
2023;48;1.2;94
2023;49;39.9;1188411
2023;50;11.9;6719
2023;51;6.1;45151
2023;52;5.1;17732
2023;53;7;27419
2023;54;5.6;103541
2023;55;6.3;99921
